#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 14200.000000 1.366732 1.690141 0.661080
 14300.000000 1.274735 1.443798 0.453016
 14400.000000 1.308098 1.482547 0.604766
 14500.000000 1.256171 1.444882 0.721835
 14600.000000 1.366719 1.559085 0.650735
 14700.000000 1.337098 1.519283 0.711931
 14800.000000 1.337777 1.596647 0.607683
 14900.000000 1.370818 1.667319 0.666500
 15000.000000 1.267527 1.622416 0.671144
 15100.000000 1.293863 1.611628 0.681225
 15200.000000 1.303881 1.578780 0.723233
 15300.000000 1.340858 1.450740 0.559252
 15400.000000 1.221087 1.471906 0.525067
 15500.000000 1.242769 1.557418 0.572383
 15600.000000 1.268926 1.504126 0.719335
 15700.000000 1.296996 1.538600 0.448183
 15800.000000 1.282029 1.475021 0.540676
 15900.000000 1.281507 1.545143 0.598276
 16000.000000 1.307278 1.546884 0.581153
 16100.000000 1.269991 1.536699 0.479553
 16200.000000 1.246125 1.374933 0.561556
 16300.000000 1.275488 1.587083 0.496768
 16400.000000 1.291474 1.571219 0.629292
 16500.000000 1.333661 1.620093 0.571812
 16600.000000 1.341199 1.613717 0.489795
 16700.000000 1.247097 1.535155 0.398433
 16800.000000 1.337321 1.443254 0.454924
 16900.000000 1.249337 1.489940 0.534106
 17000.000000 1.325484 1.621866 0.477481
 17100.000000 1.384336 1.580110 0.621014
 17200.000000 1.349331 1.566129 0.457377
 17300.000000 1.339659 1.497719 0.524983
 17400.000000 1.297901 1.443444 0.586771
 17500.000000 1.281435 1.478911 0.565196
 17600.000000 1.226286 1.448256 0.557985
 17700.000000 1.261240 1.587892 0.533184
 17800.000000 1.254414 1.500414 0.676870
 17900.000000 1.229732 1.551295 0.562771
 18000.000000 1.257721 1.704776 0.585514
 18100.000000 1.291165 1.689921 0.545070
 18200.000000 1.247959 1.563552 0.411587
 18300.000000 1.196484 1.477334 0.603144
 18400.000000 1.243342 1.474007 0.628860
 18500.000000 1.262037 1.596612 0.578434
 18600.000000 1.326510 1.632264 0.633378
 18700.000000 1.250057 1.475644 0.492482
 18800.000000 1.243941 1.448253 0.467558
 18900.000000 1.268921 1.527759 0.564750
 19000.000000 1.277246 1.477432 0.596983
 19100.000000 1.208170 1.441426 0.561439
 19200.000000 1.165432 1.420963 0.472508
 19300.000000 1.228492 1.386031 0.349253
 19400.000000 1.198392 1.504389 0.423364
 19500.000000 1.282635 1.518227 0.526131
 19600.000000 1.267128 1.647759 0.604228
 19700.000000 1.250575 1.674234 0.665053
 19800.000000 1.311479 1.729211 0.788510
 19900.000000 1.277390 1.524105 0.544545
 20000.000000 1.164065 1.441034 0.331480
 20100.000000 1.263572 1.556210 0.631097
 20200.000000 1.314981 1.606437 0.523659
 20300.000000 1.343548 1.583506 0.568419
 20400.000000 1.380049 1.674436 0.702461
 20500.000000 1.244838 1.633383 0.429400
 20600.000000 1.321998 1.536168 0.583200
 20700.000000 1.300158 1.536381 0.577128
 20800.000000 1.233309 1.559560 0.472380
 20900.000000 1.283766 1.592154 0.595101
 21000.000000 1.216741 1.547194 0.521492
 21100.000000 1.276949 1.463510 0.551034
 21200.000000 1.222303 1.591278 0.462479
 21300.000000 1.216241 1.495124 0.511487
 21400.000000 1.362724 1.668132 0.539170
 21500.000000 1.279133 1.550398 0.614707
 21600.000000 1.219758 1.455298 0.529460
 21700.000000 1.330062 1.485572 0.594287
 21800.000000 1.194574 1.453741 0.383415
 21900.000000 1.192530 1.411589 0.388640
 22000.000000 1.264106 1.499053 0.434586
 22100.000000 1.267857 1.547143 0.654861
 22200.000000 1.407291 1.580818 0.536826
 22300.000000 1.326382 1.571218 0.512534
 22400.000000 1.177916 1.512369 0.532411
 22500.000000 1.107938 1.413581 0.502920
 22600.000000 1.159772 1.517362 0.541092
 22700.000000 1.173159 1.548249 0.487814
 22800.000000 1.345158 1.512007 0.555447
 22900.000000 1.182467 1.431961 0.523779
 23000.000000 1.246750 1.559809 0.548210
 23100.000000 1.287673 1.423792 0.458033
 23200.000000 1.229171 1.392529 0.465466
 23300.000000 1.300021 1.586201 0.515857
 23400.000000 1.359981 1.576727 0.458320
 23500.000000 1.254599 1.579643 0.372035
 23600.000000 1.191285 1.426375 0.366410
 23700.000000 1.296332 1.511181 0.474433
 23800.000000 1.253686 1.513597 0.471686
 23900.000000 1.411187 1.549647 0.556856
 24000.000000 1.335065 1.533026 0.646073
 24100.000000 1.343930 1.434997 0.441006
 24200.000000 1.359090 1.559807 0.498741
 24300.000000 1.304760 1.545802 0.507058
 24400.000000 1.447866 1.616798 0.512400
 24500.000000 1.447603 1.661940 0.698722
 24600.000000 1.374801 1.581663 0.640341
 24700.000000 1.316436 1.525794 0.509659
 24800.000000 1.368227 1.428494 0.656091
 24900.000000 1.478848 1.472462 0.640909
 25000.000000 1.431785 1.592936 0.673440
 25100.000000 1.378120 1.564471 0.563790
 25200.000000 1.447823 1.661487 0.644957
 25300.000000 1.401789 1.535812 0.610815
 25400.000000 1.421282 1.669856 0.723753
 25500.000000 1.432156 1.653763 0.495871
 25600.000000 1.418793 1.601844 0.638147
 25700.000000 1.453905 1.554245 0.623306
 25800.000000 1.448097 1.698095 0.680124
 25900.000000 1.425933 1.559771 0.614474
 26000.000000 1.375447 1.714614 0.755864
 26100.000000 1.307759 1.612186 0.662354
 26200.000000 1.281136 1.458011 0.705870
 26300.000000 1.315497 1.548981 0.850786
 26400.000000 1.087456 1.541990 0.690089
 26500.000000 1.293839 1.652005 0.796906
 26600.000000 0.975121 1.394262 0.841893
 26700.000000 1.313686 1.665882 0.921150
