#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 0.000000 1.251030 1.527835 0.615023
 100.000000 1.218082 1.537858 0.523262
 200.000000 1.250457 1.594564 0.497819
 300.000000 1.256500 1.741817 0.647155
 400.000000 1.161402 1.550418 0.466687
 500.000000 1.266530 1.475006 0.409291
 600.000000 1.258580 1.602382 0.562297
 700.000000 1.206751 1.508513 0.482943
 800.000000 1.195121 1.479748 0.385975
 900.000000 1.166376 1.508554 0.548222
 1000.000000 1.239808 1.437405 0.475785
 1100.000000 1.256429 1.755489 0.747792
 1200.000000 1.112275 1.475793 0.286904
 1300.000000 1.190711 1.571151 0.499521
 1400.000000 1.326538 1.625403 0.571546
 1500.000000 1.168031 1.432810 0.446204
 1600.000000 1.256542 1.455003 0.600107
 1700.000000 1.286794 1.484999 0.555271
 1800.000000 1.128659 1.386725 0.166118
 1900.000000 1.187258 1.522060 0.304880
 2000.000000 1.200749 1.491124 0.454364
 2100.000000 1.169704 1.350957 0.266526
 2200.000000 1.218020 1.294769 0.305041
 2300.000000 1.149996 1.417247 0.249779
 2400.000000 1.204264 1.473205 0.418435
 2500.000000 1.237021 1.398808 0.261897
 2600.000000 1.266215 1.508271 0.422955
 2700.000000 1.257465 1.361421 0.463721
 2800.000000 1.207182 1.468399 0.237782
 2900.000000 1.156660 1.292763 0.269687
 3000.000000 1.136111 1.376914 0.247845
 3100.000000 1.076731 1.307035 0.384072
 3200.000000 1.118812 1.335657 0.314041
 3300.000000 1.293420 1.470286 0.318788
 3400.000000 1.189712 1.352203 0.290117
 3500.000000 1.209487 1.424406 0.114868
 3600.000000 1.228994 1.528029 0.468599
 3700.000000 1.361314 1.537915 0.516599
 3800.000000 1.340040 1.560527 0.600881
 3900.000000 1.232842 1.492930 0.493912
 4000.000000 1.240176 1.453695 0.439266
 4100.000000 1.276486 1.585873 0.548590
 4200.000000 1.275876 1.412657 0.321488
 4300.000000 1.144669 1.272209 0.216934
 4400.000000 1.366234 1.558911 0.238540
 4500.000000 1.213146 1.579782 0.587715
 4600.000000 1.275920 1.630084 0.588558
 4700.000000 1.368947 1.549130 0.504271
 4800.000000 1.395181 1.471875 0.330073
 4900.000000 1.357036 1.539269 0.412850
 5000.000000 1.255165 1.612480 0.437196
 5100.000000 1.324025 1.480638 0.443520
 5200.000000 1.258345 1.553795 0.414155
 5300.000000 1.181617 1.508828 0.366764
 5400.000000 1.217138 1.557628 0.293768
 5500.000000 1.091452 1.392878 0.337798
 5600.000000 1.282219 1.528559 0.357461
 5700.000000 1.222824 1.400606 0.330446
 5800.000000 1.198097 1.384662 0.359720
 5900.000000 1.248110 1.447617 0.369664
 6000.000000 1.237477 1.533699 0.456096
 6100.000000 1.240720 1.585856 0.516940
 6200.000000 1.266288 1.676131 0.569151
 6300.000000 1.246772 1.642875 0.585184
 6400.000000 1.347851 1.693258 0.653294
 6500.000000 1.239166 1.442815 0.322282
 6600.000000 1.158364 1.333896 0.267161
 6700.000000 1.251380 1.378638 0.307311
 6800.000000 1.303456 1.449384 0.344288
 6900.000000 1.307368 1.561116 0.470777
 7000.000000 1.228411 1.321279 0.255837
 7100.000000 1.114945 1.401541 0.342112
 7200.000000 1.197222 1.321748 0.371159
 7300.000000 1.286359 1.486048 0.286891
 7400.000000 1.209857 1.487713 0.284799
 7500.000000 1.414483 1.671749 0.319876
 7600.000000 1.194224 1.491938 0.383823
 7700.000000 1.253478 1.314275 0.381971
 7800.000000 1.325324 1.564205 0.413703
 7900.000000 1.189695 1.355520 0.377981
 8000.000000 1.229843 1.454008 0.240774
 8100.000000 1.221161 1.281719 0.346213
 8200.000000 1.351075 1.500751 0.330651
 8300.000000 1.375984 1.583869 0.372455
 8400.000000 1.240414 1.357155 0.378011
 8500.000000 1.277687 1.431505 0.424783
 8600.000000 1.279631 1.496741 0.215774
 8700.000000 1.208280 1.386378 0.378452
 8800.000000 1.295817 1.433028 0.313049
 8900.000000 1.316510 1.399956 0.299289
 9000.000000 1.144879 1.243383 0.229325
 9100.000000 1.086887 1.228400 0.240580
 9200.000000 1.331530 1.339371 0.332775
 9300.000000 1.333564 1.529487 0.388011
 9400.000000 1.193087 1.397745 0.354332
 9500.000000 1.400421 1.513351 0.444926
 9600.000000 1.289987 1.454353 0.408202
 9700.000000 1.321264 1.420168 0.405720
 9800.000000 1.342545 1.322535 0.327073
 9900.000000 1.267006 1.425788 0.276228
 10000.000000 1.323374 1.489305 0.281532
 10100.000000 1.301371 1.428121 0.398968
 10200.000000 1.425002 1.482955 0.277559
 10300.000000 1.312093 1.497490 0.312831
 10400.000000 1.362864 1.708714 0.510994
 10500.000000 1.452568 1.614115 0.529173
 10600.000000 1.391323 1.559070 0.492026
 10700.000000 1.208521 1.429491 0.368713
 10800.000000 1.317205 1.497123 0.449459
 10900.000000 1.247453 1.493423 0.357449
 11000.000000 1.257870 1.397331 0.310180
 11100.000000 1.232916 1.651435 0.544985
 11200.000000 1.294224 1.402781 0.425532
 11300.000000 1.260668 1.407318 0.394981
 11400.000000 1.159392 1.515463 0.477755
 11500.000000 1.340433 1.569991 0.454901
 11600.000000 1.341716 1.779176 0.561552
 11700.000000 1.257622 1.608321 0.404167
 11800.000000 1.297901 1.650741 0.565497
 11900.000000 1.256897 1.576803 0.457432
 12000.000000 1.290024 1.558441 0.448889
 12100.000000 1.229702 1.499483 0.288318
 12200.000000 1.233851 1.422154 0.360106
 12300.000000 1.201398 1.479988 0.444670
 12400.000000 1.386995 1.597907 0.580336
 12500.000000 1.210672 1.471066 0.449829
 12600.000000 1.330854 1.564077 0.505146
 12700.000000 1.285151 1.624273 0.807876
 12800.000000 1.259849 1.483283 0.495970
 12900.000000 1.226639 1.795338 0.568232
 13000.000000 1.207146 1.702797 0.621231
 13100.000000 1.315049 1.882848 0.679534
 13200.000000 1.243856 1.801282 0.638356
 13300.000000 1.177927 1.557431 0.724417
 13400.000000 1.201275 1.622719 0.570196
 13500.000000 1.192377 1.507775 0.468211
 13600.000000 1.304283 1.483452 0.520961
 13700.000000 1.194723 1.564013 0.619392
 13800.000000 1.248481 1.426961 0.524641
 13900.000000 1.332728 1.564077 0.671156
 14000.000000 1.356396 1.648284 0.695556
 14100.000000 1.250992 1.575055 0.753960
 14200.000000 1.269879 1.566570 0.600751
 14300.000000 1.324676 1.520666 0.776035
 14400.000000 1.213366 1.490027 0.560178
 14500.000000 1.229805 1.553154 0.595172
 14600.000000 1.334943 1.614260 0.363164
 14700.000000 1.250977 1.588790 0.670250
 14800.000000 1.199851 1.596147 0.612696
 14900.000000 1.247422 1.636345 0.559641
 15000.000000 1.212100 1.512280 0.439035
 15100.000000 1.238328 1.419838 0.378181
 15200.000000 1.193022 1.506946 0.563989
 15300.000000 1.218707 1.555832 0.428044
 15400.000000 1.443712 1.615252 0.648920
 15500.000000 1.277686 1.427091 0.649835
 15600.000000 1.311492 1.579968 0.625452
 15700.000000 1.361786 1.542652 0.672447
 15800.000000 1.370328 1.543722 0.575849
 15900.000000 1.282589 1.613706 0.555789
 16000.000000 1.236567 1.449546 0.556340
 16100.000000 1.219967 1.345960 0.469380
 16200.000000 1.231290 1.590863 0.537876
 16300.000000 1.218885 1.499382 0.590787
 16400.000000 1.230172 1.527413 0.506865
 16500.000000 1.270396 1.576532 0.631066
 16600.000000 1.186467 1.390208 0.539545
 16700.000000 1.200826 1.416561 0.520390
 16800.000000 1.175672 1.459126 0.481322
 16900.000000 1.306423 1.690384 0.701259
 17000.000000 1.180148 1.528717 0.571739
 17100.000000 1.193522 1.508345 0.528140
 17200.000000 1.259031 1.713675 0.578937
 17300.000000 1.307360 1.658853 0.723061
 17400.000000 1.243485 1.538562 0.565849
 17500.000000 1.344443 1.571112 0.492820
 17600.000000 1.283505 1.515140 0.672465
 17700.000000 1.325952 1.718819 0.753147
 17800.000000 1.315089 1.648638 0.541427
 17900.000000 1.379570 1.606114 0.458519
 18000.000000 1.305450 1.543878 0.643035
 18100.000000 1.264692 1.527726 0.549016
 18200.000000 1.268231 1.415274 0.543684
 18300.000000 1.226904 1.618811 0.506345
 18400.000000 1.289300 1.581001 0.626528
 18500.000000 1.296903 1.540585 0.509135
 18600.000000 1.355632 1.685196 0.709914
 18700.000000 1.345243 1.668859 0.671651
 18800.000000 1.246149 1.593388 0.596805
 18900.000000 1.256744 1.537461 0.530393
 19000.000000 1.305101 1.538288 0.478798
 19100.000000 1.278788 1.651928 0.595671
 19200.000000 1.315260 1.590246 0.534036
 19300.000000 1.263514 1.566197 0.632747
 19400.000000 1.287405 1.560837 0.630830
 19500.000000 1.232600 1.537401 0.436062
 19600.000000 1.254177 1.644536 0.530354
 19700.000000 1.251537 1.488444 0.626419
 19800.000000 1.371994 1.630780 0.672069
 19900.000000 1.228450 1.529593 0.517852
 20000.000000 1.193037 1.629333 0.607140
