#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 14200.000000 1.278083 1.921278 0.278358
 14300.000000 0.964833 1.871950 0.349769
 14400.000000 1.302565 2.157414 0.500615
 14500.000000 1.157481 1.797685 0.534436
 14600.000000 1.275881 1.785888 0.389292
 14700.000000 1.096916 1.581743 0.453360
 14800.000000 1.115785 1.449367 0.338914
 14900.000000 1.061856 1.866228 0.334660
 15000.000000 0.732353 1.594144 0.324979
 15100.000000 0.649937 1.502405 0.313681
 15200.000000 0.656613 1.608989 0.294220
 15300.000000 0.932992 1.514639 0.286561
 15400.000000 0.852003 1.444406 0.252325
 15500.000000 0.741956 1.349359 0.110967
 15600.000000 0.889469 1.695005 0.442580
 15700.000000 1.049078 1.647489 0.482732
 15800.000000 0.938393 1.775418 0.397042
 15900.000000 1.182094 1.713623 0.525174
 16000.000000 1.167860 1.872721 0.401554
 16100.000000 1.380592 1.711682 0.272214
 16200.000000 1.728363 2.030976 0.357005
 16300.000000 1.410481 1.753497 0.470155
 16400.000000 1.483232 2.013665 0.320490
 16500.000000 1.458662 1.885528 0.186733
 16600.000000 1.139120 1.825644 0.475820
 16700.000000 1.335604 1.858848 0.257875
 16800.000000 0.899014 1.642833 0.523566
 16900.000000 1.202330 1.594578 0.691252
 17000.000000 1.140186 1.514531 0.554961
 17100.000000 1.443856 1.963687 0.747795
 17200.000000 1.213377 1.479554 0.489726
 17300.000000 1.093346 1.529046 0.343250
 17400.000000 1.071747 1.337746 0.316626
 17500.000000 1.049867 1.371758 0.413156
 17600.000000 0.894860 1.228424 0.514726
 17700.000000 0.989256 1.344569 0.408710
 17800.000000 1.089563 1.448385 0.247580
 17900.000000 1.054211 1.353832 0.392428
 18000.000000 1.064150 1.515152 0.554793
 18100.000000 0.981597 1.284189 0.458731
 18200.000000 1.060859 1.407930 0.429597
 18300.000000 1.132895 1.655790 0.528697
 18400.000000 0.936048 1.461391 0.518078
 18500.000000 0.927149 1.438221 0.496952
 18600.000000 0.942657 1.206278 0.165444
 18700.000000 0.999577 1.417593 0.380086
 18800.000000 0.969199 1.380760 0.308315
 18900.000000 1.038146 1.401342 0.256858
 19000.000000 0.994360 1.529013 0.233955
 19100.000000 1.045253 1.422252 0.428004
 19200.000000 0.908259 1.435148 0.275372
 19300.000000 0.994415 1.465430 0.261912
 19400.000000 1.125177 1.475656 0.209602
 19500.000000 0.929274 1.356754 0.188287
 19600.000000 1.001222 1.510529 0.277698
 19700.000000 1.036290 1.440228 0.464736
 19800.000000 1.037770 1.429032 0.303216
 19900.000000 0.922319 1.342896 0.140414
 20000.000000 0.943622 1.459035 0.556280
 20100.000000 1.052761 1.384141 0.224363
 20200.000000 1.113916 1.434579 0.172470
 20300.000000 1.065800 1.518890 0.174894
 20400.000000 1.218758 1.532239 0.268082
 20500.000000 1.063675 1.390312 0.325074
 20600.000000 1.025957 1.436904 0.252589
 20700.000000 1.069452 1.473695 0.208695
 20800.000000 1.079443 1.250688 0.111426
 20900.000000 1.030825 1.402968 0.218066
 21000.000000 0.986272 1.592795 0.248762
 21100.000000 1.049705 1.642905 0.318830
 21200.000000 1.039973 1.576202 0.391197
 21300.000000 1.051676 1.441754 0.368359
 21400.000000 1.161742 1.684663 0.439622
 21500.000000 1.133284 1.595246 0.230195
 21600.000000 1.246983 1.622697 0.314960
 21700.000000 1.066997 1.386381 0.224760
 21800.000000 1.165824 1.587074 0.587456
 21900.000000 1.008711 1.553931 0.433328
 22000.000000 1.144672 1.524480 0.357529
 22100.000000 1.181474 1.520289 0.611992
 22200.000000 1.218569 1.684910 0.303401
 22300.000000 1.293595 1.656516 0.480477
 22400.000000 1.074266 1.658948 0.417940
 22500.000000 1.118358 1.683756 0.357715
 22600.000000 1.012556 1.641187 0.437491
 22700.000000 1.068055 1.604758 0.199998
 22800.000000 1.118270 1.535692 0.303720
 22900.000000 1.067333 1.463497 0.295886
 23000.000000 1.077263 1.488982 0.349877
 23100.000000 1.002257 1.483865 0.328559
 23200.000000 1.171680 1.383736 0.210924
 23300.000000 1.044733 1.519455 0.290855
 23400.000000 1.036163 1.373626 0.300547
 23500.000000 1.143151 1.367601 0.246273
 23600.000000 1.125697 1.354684 0.340495
 23700.000000 1.203283 1.578262 0.240474
 23800.000000 0.996048 1.541109 0.346812
 23900.000000 1.080581 1.729192 0.437040
 24000.000000 0.997110 1.413519 0.285662
 24100.000000 0.964800 1.524674 0.283377
 24200.000000 0.944850 1.487437 0.293398
 24300.000000 0.969803 1.557920 0.380614
 24400.000000 1.154232 1.388312 0.355296
 24500.000000 1.151681 1.616779 0.406621
 24600.000000 1.286653 1.426753 0.297652
 24700.000000 1.181913 1.826160 0.499192
 24800.000000 1.051769 1.515540 0.362730
 24900.000000 1.100580 1.559706 0.380164
 25000.000000 1.152571 1.835169 0.284980
 25100.000000 1.234250 1.795169 0.323157
 25200.000000 1.240118 1.631354 0.422209
 25300.000000 1.219238 1.658441 0.192836
 25400.000000 1.325281 1.782412 0.349285
 25500.000000 1.126465 1.744569 0.436271
 25600.000000 1.350571 1.622534 0.329535
 25700.000000 1.191560 1.716964 0.346430
 25800.000000 1.276863 1.712287 0.257745
 25900.000000 1.147648 1.590131 0.422489
 26000.000000 1.181797 1.434017 0.326248
 26100.000000 1.195558 1.612452 0.453176
 26200.000000 1.062883 1.659723 0.378150
 26300.000000 1.172921 1.584591 0.394268
 26400.000000 1.155739 1.519915 0.221735
 26500.000000 1.052154 1.566904 0.371419
 26600.000000 1.252599 1.731157 0.527888
 26700.000000 1.265497 1.708219 0.471796
 26800.000000 1.245000 1.850819 0.526772
 26900.000000 1.239842 1.686269 0.525017
 27000.000000 1.253317 1.765219 0.620916
 27100.000000 1.277551 1.770705 0.250168
 27200.000000 1.247049 1.713677 0.195177
 27300.000000 1.197902 1.549163 0.341275
 27400.000000 1.299293 1.538733 0.212238
 27500.000000 1.213227 1.682684 0.231740
 27600.000000 1.013742 1.460310 0.169729
 27700.000000 1.188606 1.447863 0.224567
 27800.000000 1.078308 1.339362 0.383831
 27900.000000 1.358147 1.572953 0.312623
 28000.000000 1.131301 1.492264 0.294365
 28100.000000 1.185705 1.497708 0.222952
 28200.000000 1.075729 1.501516 0.348347
 28300.000000 1.097485 1.455103 0.328735
 28400.000000 1.216056 1.606266 0.275785
 28500.000000 1.235262 1.578577 0.321726
 28600.000000 1.115527 1.516424 0.283560
 28700.000000 1.143502 1.402608 0.215936
 28800.000000 1.147648 1.715539 0.294561
 28900.000000 1.083508 1.419147 0.212289
 29000.000000 1.237067 1.661696 0.503006
 29100.000000 1.272964 1.665655 0.293688
 29200.000000 1.190191 1.651009 0.302660
 29300.000000 1.210770 1.483617 0.272797
 29400.000000 1.300550 1.636655 0.345938
 29500.000000 1.215703 1.477950 0.348898
 29600.000000 1.297739 1.620850 0.328855
 29700.000000 1.244610 1.596544 0.301124
 29800.000000 1.252259 1.551130 0.287200
 29900.000000 1.331019 1.798376 0.208872
 30000.000000 1.357856 1.756284 0.379010
 30100.000000 1.267827 1.514340 0.383070
 30200.000000 1.237097 1.624927 0.324807
 30300.000000 1.271432 1.627515 0.286540
 30400.000000 1.320626 1.609658 0.198274
 30500.000000 1.232395 1.647887 0.280921
 30600.000000 1.200657 1.810340 0.287392
 30700.000000 1.304983 1.699920 0.315126
 30800.000000 1.150089 1.826280 0.170281
 30900.000000 1.171617 1.690004 0.327151
 31000.000000 1.127488 1.782229 0.311116
 31100.000000 1.250253 1.899947 0.299670
 31200.000000 1.317283 1.903630 0.234676
 31300.000000 1.149226 1.775245 0.387562
 31400.000000 1.168123 1.635772 0.277204
 31500.000000 1.262676 1.719240 0.321619
 31600.000000 1.372404 1.931134 0.391825
 31700.000000 1.316505 1.838993 0.402861
 31800.000000 1.223162 1.945747 0.523385
 31900.000000 1.433921 2.141423 0.226172
 32000.000000 1.369248 2.097463 0.585944
 32100.000000 1.187085 1.858340 0.534188
 32200.000000 1.125407 1.872433 0.392263
 32300.000000 1.235896 2.025927 0.281450
 32400.000000 1.171444 1.965992 0.150495
 32500.000000 1.176651 1.848924 0.511826
 32600.000000 1.252101 1.938974 0.321287
 32700.000000 1.215883 1.823729 0.377675
 32800.000000 1.257974 1.855372 0.297782
 32900.000000 1.326303 2.063178 0.502776
 33000.000000 1.309999 1.929795 0.431677
 33100.000000 1.530809 2.072317 0.606011
 33200.000000 1.307167 1.960184 0.352139
 33300.000000 1.358211 1.910391 0.330555
 33400.000000 1.288504 1.898629 0.570571
 33500.000000 1.352482 2.031446 0.467144
 33600.000000 1.327661 2.136837 0.564578
 33700.000000 1.464441 1.982801 0.312667
 33800.000000 1.399662 1.945124 0.191128
 33900.000000 1.431082 2.003189 0.272907
 34000.000000 1.467658 1.756467 0.141560
 34100.000000 1.305541 2.105216 0.283664
 34200.000000 1.443265 1.918280 0.212388
 34300.000000 1.416378 2.084500 0.485626
 34400.000000 1.328820 2.041397 0.122747
 34500.000000 1.223295 2.040469 0.166471
 34600.000000 1.365993 2.233810 0.253196
 34700.000000 1.306838 1.972177 0.268135
 34800.000000 1.375766 2.160988 0.314184
