#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 13000.000000 1.036583 -1.336252 -2.829619
 13100.000000 0.927634 -1.421425 -2.818610
 13200.000000 0.995261 -1.402066 -2.809970
 13300.000000 1.161995 -1.298090 -2.737047
 13400.000000 0.956113 -1.338740 -2.844459
 13500.000000 1.014307 -1.308089 -2.617290
 13600.000000 0.924776 -1.524656 -2.841598
 13700.000000 0.968261 -1.539734 -2.814961
 13800.000000 0.853797 -1.587964 -2.869685
 13900.000000 1.012286 -1.312847 -2.863055
 14000.000000 0.874143 -1.538370 -2.783268
 14100.000000 0.886804 -1.577503 -2.720351
 14200.000000 0.947491 -1.535071 -2.891608
 14300.000000 0.985877 -1.505032 -2.794130
 14400.000000 0.870274 -1.591385 -2.785811
 14500.000000 0.916050 -1.483182 -2.983784
 14600.000000 0.973076 -1.457659 -2.887361
 14700.000000 0.900414 -1.490218 -2.747788
 14800.000000 1.045819 -1.526022 -2.922077
 14900.000000 0.809885 -1.451446 -2.927172
 15000.000000 0.943548 -1.491811 -2.762789
 15100.000000 0.934285 -1.395547 -2.778496
 15200.000000 0.923699 -1.317983 -2.803224
 15300.000000 0.985325 -1.458116 -2.650336
 15400.000000 1.008546 -1.449074 -2.683967
 15500.000000 1.018247 -1.463903 -2.752292
 15600.000000 0.925242 -1.441862 -2.886067
 15700.000000 0.914423 -1.323931 -2.893966
 15800.000000 1.034110 -1.385793 -2.615032
 15900.000000 0.987772 -1.417053 -2.829373
 16000.000000 0.985390 -1.450030 -2.772530
 16100.000000 1.093652 -1.507811 -2.740980
 16200.000000 1.008656 -1.461201 -2.766218
 16300.000000 1.001145 -1.419928 -2.661061
 16400.000000 1.066387 -1.375760 -2.794322
 16500.000000 0.975338 -1.620076 -2.820017
 16600.000000 0.987950 -1.379248 -2.835308
 16700.000000 1.065841 -1.441311 -2.797030
 16800.000000 0.925125 -1.366754 -2.931241
 16900.000000 0.949922 -1.439777 -2.857329
 17000.000000 1.046761 -1.255696 -2.777441
 17100.000000 1.092185 -1.232729 -2.619121
 17200.000000 0.907914 -1.343359 -2.809960
 17300.000000 1.018658 -1.322450 -2.811578
 17400.000000 1.044692 -1.338813 -2.832531
 17500.000000 1.015485 -1.369419 -2.898147
 17600.000000 1.055747 -1.415886 -2.894044
 17700.000000 1.107244 -1.264808 -2.901386
 17800.000000 0.985699 -1.447222 -2.908196
 17900.000000 1.070647 -1.491681 -2.844934
 18000.000000 1.153801 -1.504180 -2.634638
 18100.000000 1.096951 -1.451227 -2.649877
 18200.000000 1.120048 -1.522601 -2.720858
 18300.000000 1.068559 -1.467927 -2.636681
 18400.000000 1.037181 -1.510060 -2.654719
 18500.000000 0.980678 -1.329688 -2.997035
 18600.000000 0.912286 -1.426792 -2.852648
 18700.000000 1.000078 -1.542092 -2.907823
 18800.000000 1.047965 -1.397739 -2.945541
 18900.000000 0.848610 -1.396323 -3.033563
 19000.000000 1.073723 -1.329519 -2.965211
 19100.000000 1.059808 -1.340727 -2.953543
 19200.000000 0.949129 -1.480958 -2.807595
 19300.000000 0.991384 -1.435016 -2.804006
 19400.000000 1.118001 -1.428981 -2.785079
 19500.000000 1.000776 -1.490943 -2.859440
 19600.000000 1.160695 -1.473991 -2.850556
 19700.000000 1.200840 -1.561805 -2.852539
 19800.000000 0.990878 -1.570866 -2.814762
 19900.000000 0.999036 -1.508653 -2.644793
 20000.000000 0.978124 -1.462377 -2.732026
 20100.000000 1.038716 -1.577923 -2.643422
 20200.000000 1.020530 -1.508944 -2.790203
 20300.000000 1.022751 -1.474441 -2.949329
 20400.000000 0.910490 -1.760121 -2.760895
 20500.000000 0.920775 -1.501526 -2.358230
 20600.000000 0.961836 -1.489434 -2.688268
 20700.000000 0.893232 -1.582324 -2.606400
 20800.000000 0.890061 -1.675645 -2.712411
 20900.000000 0.885790 -1.539185 -2.762064
 21000.000000 0.920120 -1.556539 -2.853292
 21100.000000 1.119426 -1.525975 -2.266784
 21200.000000 1.318729 -1.661009 -2.485059
 21300.000000 1.233123 -1.563274 -2.213529
 21400.000000 1.356164 -1.501282 -2.529160
 21500.000000 1.116694 -1.585966 -2.593035
 21600.000000 1.130094 -1.604549 -2.407331
 21700.000000 0.987620 -1.583727 -2.504794
 21800.000000 1.186196 -1.504531 -2.718878
 21900.000000 1.141777 -1.566677 -2.576151
