#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 13000.000000 1.207146 -1.438796 -2.520362
 13100.000000 1.315049 -1.258745 -2.462059
 13200.000000 1.243856 -1.340310 -2.503236
 13300.000000 1.177927 -1.584161 -2.417176
 13400.000000 1.201275 -1.518874 -2.571397
 13500.000000 1.192377 -1.633817 -2.673382
 13600.000000 1.304283 -1.658141 -2.620631
 13700.000000 1.194723 -1.577579 -2.522200
 13800.000000 1.248481 -1.714632 -2.616951
 13900.000000 1.332728 -1.577516 -2.470437
 14000.000000 1.356396 -1.493308 -2.446036
 14100.000000 1.250992 -1.566537 -2.387633
 14200.000000 1.269879 -1.575022 -2.540842
 14300.000000 1.324676 -1.620927 -2.365558
 14400.000000 1.213366 -1.651566 -2.581414
 14500.000000 1.229805 -1.588439 -2.546420
 14600.000000 1.334943 -1.527333 -2.778429
 14700.000000 1.250977 -1.552803 -2.471342
 14800.000000 1.199851 -1.545445 -2.528896
 14900.000000 1.247422 -1.505247 -2.581952
 15000.000000 1.212100 -1.629313 -2.702557
 15100.000000 1.238328 -1.721755 -2.763412
 15200.000000 1.193022 -1.634647 -2.577603
 15300.000000 1.218707 -1.585761 -2.713549
 15400.000000 1.443712 -1.526341 -2.492673
 15500.000000 1.277686 -1.714501 -2.491757
 15600.000000 1.311492 -1.561624 -2.516140
 15700.000000 1.361786 -1.598940 -2.469146
 15800.000000 1.370328 -1.597871 -2.565744
 15900.000000 1.282589 -1.527886 -2.585804
 16000.000000 1.236567 -1.692047 -2.585253
 16100.000000 1.219967 -1.795633 -2.672213
 16200.000000 1.231290 -1.550730 -2.603716
 16300.000000 1.218885 -1.642211 -2.550806
 16400.000000 1.230172 -1.614180 -2.634727
 16500.000000 1.270396 -1.565060 -2.510527
 16600.000000 1.186467 -1.751384 -2.602048
 16700.000000 1.200826 -1.725032 -2.621202
 16800.000000 1.175672 -1.682466 -2.660271
 16900.000000 1.306423 -1.451208 -2.440334
 17000.000000 1.180148 -1.612876 -2.569853
 17100.000000 1.193522 -1.633248 -2.613452
 17200.000000 1.259031 -1.427918 -2.562656
 17300.000000 1.307360 -1.482739 -2.418532
 17400.000000 1.243485 -1.603031 -2.575744
 17500.000000 1.344443 -1.570480 -2.648773
 17600.000000 1.283505 -1.626453 -2.469128
 17700.000000 1.325952 -1.422773 -2.388446
 17800.000000 1.315089 -1.492955 -2.600166
 17900.000000 1.379570 -1.535478 -2.683073
 18000.000000 1.305450 -1.597714 -2.498557
 18100.000000 1.264692 -1.613866 -2.592577
 18200.000000 1.268231 -1.726319 -2.597908
 18300.000000 1.226904 -1.522782 -2.635247
 18400.000000 1.289300 -1.560591 -2.515065
 18500.000000 1.296903 -1.601008 -2.632458
 18600.000000 1.355632 -1.456397 -2.431678
 18700.000000 1.345243 -1.472734 -2.469942
 18800.000000 1.246149 -1.548204 -2.544788
 18900.000000 1.256744 -1.604132 -2.611200
 19000.000000 1.305101 -1.603305 -2.662795
 19100.000000 1.278788 -1.489664 -2.545922
 19200.000000 1.315260 -1.551346 -2.607557
 19300.000000 1.263514 -1.575396 -2.508846
 19400.000000 1.287405 -1.580756 -2.510763
 19500.000000 1.232600 -1.604192 -2.705530
 19600.000000 1.254177 -1.497057 -2.611238
 19700.000000 1.251537 -1.653148 -2.515173
 19800.000000 1.371994 -1.510812 -2.469523
 19900.000000 1.228450 -1.612000 -2.623740
 20000.000000 1.193037 -1.512260 -2.534452
 20100.000000 1.221754 -1.535765 -2.478249
 20200.000000 1.293371 -1.729794 -2.539615
