#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 0.000000 1.299386 -1.735305 -2.325017
 100.000000 1.276933 -1.664816 -2.503230
 200.000000 1.424772 -1.308885 -2.534224
 300.000000 1.335718 -1.535336 -2.411496
 400.000000 1.337552 -1.525421 -2.540729
 500.000000 1.280134 -1.593877 -2.440480
 600.000000 1.222684 -1.588461 -2.630295
 700.000000 1.180029 -1.604875 -2.469098
 800.000000 1.242937 -1.433319 -2.435876
 900.000000 1.445863 -1.381094 -2.329755
 1000.000000 1.384289 -1.375065 -2.356282
 1100.000000 1.313936 -1.525161 -2.352366
 1200.000000 1.298133 -1.445389 -2.412680
 1300.000000 1.231073 -1.502136 -2.553064
 1400.000000 1.166440 -1.630451 -2.613557
 1500.000000 1.463706 -1.476266 -2.431802
 1600.000000 1.215019 -1.557209 -2.446240
 1700.000000 1.298386 -1.503127 -2.362690
 1800.000000 1.280053 -1.564108 -2.688527
 1900.000000 1.377424 -1.457907 -2.473380
 2000.000000 1.311928 -1.554330 -2.379502
 2100.000000 1.240271 -1.638719 -2.511303
 2200.000000 1.297647 -1.507688 -2.428075
 2300.000000 1.331819 -1.564891 -2.665528
 2400.000000 1.285682 -1.511850 -2.634907
 2500.000000 1.111667 -1.685488 -2.516877
 2600.000000 1.246843 -1.513138 -2.586199
 2700.000000 1.105544 -1.472595 -2.440505
 2800.000000 1.159711 -1.470983 -2.719764
 2900.000000 1.295899 -1.547432 -2.309451
 3000.000000 1.344051 -1.454336 -2.555473
 3100.000000 1.088966 -1.795684 -2.342833
 3200.000000 0.940314 -1.956890 -2.737374
 3300.000000 0.949149 -1.874535 -2.630404
 3400.000000 1.137151 -1.805092 -2.672871
 3500.000000 1.066590 -1.963067 -2.755163
 3600.000000 1.091557 -1.875639 -2.754662
 3700.000000 1.072644 -1.897368 -2.684146
 3800.000000 1.115928 -1.815723 -2.582367
 3900.000000 1.013196 -1.917266 -2.919521
 4000.000000 0.975879 -1.744955 -2.692995
 4100.000000 1.007135 -1.891391 -2.533792
 4200.000000 0.968088 -1.778311 -2.669106
 4300.000000 0.914851 -1.951500 -2.756259
 4400.000000 1.106719 -1.764161 -2.722791
 4500.000000 0.979605 -1.532946 -2.756050
 4600.000000 1.076057 -1.460483 -2.647264
 4700.000000 0.931400 -1.495865 -2.558421
 4800.000000 1.084451 -1.684177 -2.524718
 4900.000000 1.158279 -1.529149 -2.610008
 5000.000000 1.197814 -1.348168 -2.578656
 5100.000000 1.082391 -1.413827 -2.678863
 5200.000000 1.174799 -1.208439 -2.701244
 5300.000000 1.211014 -1.329463 -2.545301
 5400.000000 1.148434 -1.490790 -2.650456
 5500.000000 1.223961 -1.310827 -2.581762
 5600.000000 1.188659 -1.443158 -2.740451
 5700.000000 1.087038 -1.457168 -2.897450
 5800.000000 1.150004 -1.462813 -2.748945
 5900.000000 1.093789 -1.547886 -2.713543
 6000.000000 1.145081 -1.312450 -2.799222
 6100.000000 1.206113 -1.420281 -2.713433
 6200.000000 1.191409 -1.414560 -2.739617
 6300.000000 1.184982 -1.567480 -2.648652
 6400.000000 1.187435 -1.475866 -2.688228
 6500.000000 1.146984 -1.484667 -2.636264
