#! FIELDS time theta_1 theta_2 theta_3
#! SET min_theta_2 -pi
#! SET max_theta_2 pi
#! SET min_theta_3 -pi
#! SET max_theta_3 pi
 13000.000000 1.021606 -1.601957 -2.719957
 13100.000000 1.122738 -1.575326 -2.679902
 13200.000000 1.236761 -1.566139 -2.663029
 13300.000000 0.912269 -1.541968 -2.922356
 13400.000000 0.793016 -2.012190 3.127268
 13500.000000 0.926273 -1.714169 -2.825462
 13600.000000 0.938898 -1.753596 -2.896329
 13700.000000 0.960566 -1.639326 -3.006883
 13800.000000 1.043388 -1.763481 -3.064151
 13900.000000 1.225067 -1.323165 -2.682804
 14000.000000 1.036239 -1.524826 -2.872648
 14100.000000 1.344745 -1.329741 -2.915131
 14200.000000 1.278083 -1.220315 -2.863234
 14300.000000 0.964833 -1.269642 -2.791823
 14400.000000 1.302565 -0.984178 -2.640977
 14500.000000 1.157481 -1.343908 -2.607157
 14600.000000 1.275881 -1.355705 -2.752300
 14700.000000 1.096916 -1.559850 -2.688233
 14800.000000 1.115785 -1.692226 -2.802679
 14900.000000 1.061856 -1.275364 -2.806933
 15000.000000 0.732353 -1.547449 -2.816613
 15100.000000 0.649937 -1.639188 -2.827911
 15200.000000 0.656613 -1.532603 -2.847373
 15300.000000 0.932992 -1.626954 -2.855031
 15400.000000 0.852003 -1.697187 -2.889268
 15500.000000 0.741956 -1.792234 -3.030626
 15600.000000 0.889469 -1.446588 -2.699013
 15700.000000 1.049078 -1.494103 -2.658861
 15800.000000 0.938393 -1.366174 -2.744551
 15900.000000 1.182094 -1.427970 -2.616419
 16000.000000 1.167860 -1.268871 -2.740038
 16100.000000 1.380592 -1.429910 -2.869379
 16200.000000 1.728363 -1.110616 -2.784587
 16300.000000 1.410481 -1.388096 -2.671437
 16400.000000 1.483232 -1.127928 -2.821102
 16500.000000 1.458662 -1.256065 -2.954860
 16600.000000 1.139120 -1.315949 -2.665773
 16700.000000 1.335604 -1.282744 -2.883717
 16800.000000 0.899014 -1.498759 -2.618026
 16900.000000 1.202330 -1.547015 -2.450341
 17000.000000 1.140186 -1.627062 -2.586631
 17100.000000 1.443856 -1.177906 -2.393798
 17200.000000 1.213377 -1.662038 -2.651867
 17300.000000 1.093346 -1.612546 -2.798343
 17400.000000 1.071747 -1.803847 -2.824966
 17500.000000 1.049867 -1.769835 -2.728437
 17600.000000 0.894860 -1.913168 -2.626866
 17700.000000 0.989256 -1.797023 -2.732883
 17800.000000 1.089563 -1.693208 -2.894013
 17900.000000 1.054211 -1.787760 -2.749165
 18000.000000 1.064150 -1.626441 -2.586800
 18100.000000 0.981597 -1.857403 -2.682861
 18200.000000 1.060859 -1.733663 -2.711995
 18300.000000 1.132895 -1.485802 -2.612896
 18400.000000 0.936048 -1.680202 -2.623515
 18500.000000 0.927149 -1.703372 -2.644640
 18600.000000 0.942657 -1.935314 -2.976148
 18700.000000 0.999577 -1.723999 -2.761506
 18800.000000 0.969199 -1.760832 -2.833278
 18900.000000 1.038146 -1.740251 -2.884735
 19000.000000 0.994360 -1.612579 -2.907637
 19100.000000 1.045253 -1.719341 -2.713588
 19200.000000 0.908259 -1.706445 -2.866220
 19300.000000 0.994415 -1.676163 -2.879681
 19400.000000 1.125177 -1.665937 -2.931991
 19500.000000 0.929274 -1.784839 -2.953306
 19600.000000 1.001222 -1.631063 -2.863894
 19700.000000 1.036290 -1.701364 -2.676856
 19800.000000 1.037770 -1.712560 -2.838377
 19900.000000 0.922319 -1.798697 -3.001179
 20000.000000 0.943622 -1.682557 -2.585312
 20100.000000 1.052761 -1.757452 -2.917230
 20200.000000 1.113916 -1.707014 -2.969123
 20300.000000 1.065800 -1.622702 -2.966699
 20400.000000 1.218758 -1.609353 -2.873511
 20500.000000 1.063675 -1.751281 -2.816518
 20600.000000 1.025957 -1.704689 -2.889004
 20700.000000 1.069452 -1.667898 -2.932897
 20800.000000 1.079443 -1.890905 -3.030166
 20900.000000 1.030825 -1.738624 -2.923527
 21000.000000 0.986272 -1.548797 -2.892830
 21100.000000 1.049705 -1.498688 -2.822762
 21200.000000 1.039973 -1.565391 -2.750395
 21300.000000 1.051676 -1.699838 -2.773233
 21400.000000 1.161742 -1.456930 -2.701971
 21500.000000 1.133284 -1.546347 -2.911397
 21600.000000 1.246983 -1.518896 -2.826632
 21700.000000 1.066997 -1.755212 -2.916832
 21800.000000 1.165824 -1.554518 -2.554136
 21900.000000 1.008711 -1.587661 -2.708264
 22000.000000 1.144672 -1.617113 -2.784063
 22100.000000 1.181474 -1.621304 -2.529601
 22200.000000 1.218569 -1.456683 -2.838191
 22300.000000 1.293595 -1.485077 -2.661115
 22400.000000 1.074266 -1.482644 -2.723653
 22500.000000 1.118358 -1.457837 -2.783878
 22600.000000 1.012556 -1.500405 -2.704101
 22700.000000 1.068055 -1.536835 -2.941595
 22800.000000 1.118270 -1.605901 -2.837872
 22900.000000 1.067333 -1.678096 -2.845707
 23000.000000 1.077263 -1.652610 -2.791716
 23100.000000 1.002257 -1.657728 -2.813033
 23200.000000 1.171680 -1.757856 -2.930669
 23300.000000 1.044733 -1.622137 -2.850738
 23400.000000 1.036163 -1.767966 -2.841045
 23500.000000 1.143151 -1.773991 -2.895320
 23600.000000 1.125697 -1.786909 -2.801098
 23700.000000 1.203283 -1.563331 -2.901119
 23800.000000 0.996048 -1.600484 -2.794780
 23900.000000 1.080581 -1.412400 -2.704552
 24000.000000 0.997110 -1.728074 -2.855931
 24100.000000 0.964800 -1.616919 -2.858216
 24200.000000 0.944850 -1.654155 -2.848195
 24300.000000 0.969803 -1.583672 -2.760979
 24400.000000 1.154232 -1.753281 -2.786297
 24500.000000 1.151681 -1.524813 -2.734971
 24600.000000 1.286653 -1.714840 -2.843941
 24700.000000 1.181913 -1.315432 -2.642400
 24800.000000 1.051769 -1.626053 -2.778863
 24900.000000 1.100580 -1.581887 -2.761429
 25000.000000 1.152571 -1.306424 -2.856613
 25100.000000 1.234250 -1.346424 -2.818436
 25200.000000 1.240118 -1.510238 -2.719384
 25300.000000 1.219238 -1.483152 -2.948757
 25400.000000 1.325281 -1.359181 -2.792308
 25500.000000 1.126465 -1.397024 -2.705322
 25600.000000 1.350571 -1.519059 -2.812058
 25700.000000 1.191560 -1.424628 -2.795163
 25800.000000 1.276863 -1.429306 -2.883848
 25900.000000 1.147648 -1.551462 -2.719104
 26000.000000 1.181797 -1.707575 -2.815344
