Sequence_ID,Structure,Coil,Bend,Turn,3-Helix
WT,10295,47949,8113,10295,13653
2,13206,48091,10754,13206,7959
3,9615,47562,9267,9615,13566
4,15914,48223,14136,15914,1737
5,11511,44447,13753,11511,10299
6,10257,47961,9573,10257,12219
7,8684,45395,10874,8684,15057
8,21421,47807,7739,21421,3043
9,12237,48325,11783,12237,7665
10,15305,48543,13824,15301,2342
11,14052,48393,12819,14052,4746
12,15832,48332,15036,15832,810
13,9728,48008,9497,9728,12777
