Sequence_ID,Structure,Coil,Bend,Turn,3-Helix
WT,7139,47457,8365,7139,17049
2,14161,48119,9471,14161,8259
3,10527,48098,11572,10527,9813
4,11439,48407,9916,11435,10248
5,15284,48361,13611,15284,2754
6,13238,48121,11262,13238,7389
7,10823,47561,9542,10823,12084
8,15338,48179,14390,15338,2103
9,13107,47806,9575,13107,9522
10,15805,48534,12149,15805,3522
11,15166,48218,14169,15166,2457
12,15751,48484,14710,15751,1065
13,10708,47979,9649,10708,11674
