Sequence_ID, K, tau(lag-index), lag-time(ns)
WT,,,44.4417122
2,0.016873295,59.26524731,14.81631183
3,0.021547143,46.40986528,11.60246632
4,0.007792825,128.3231697,32.08079243
5,0.011969473,83.54586541,20.88646635
6,0.002177072,459.3325257,114.8331314
7,,250,62.5
8,,1300,325
9,0.001919385,521.0003154,130.2500789
10,0.001811357,552.0724295,138.0181074
11,,2500,625
12,0.004443581,225.0437233,56.26093083
13,0.010795506,92.63113353,23.15778338
