Sequence_ID, K, tau(lag-index), lag-time(ns)
WT,,,44.4417122
2,0.003071778,325.5443553,81.38608882
3,0.000709584,1409.275444,352.3188609
4,0.00182296,548.5584009,137.1396002
5,0.002230692,448.2913915,112.0728479
6,0.001838201,544.010092,136.002523
7,0.002203604,453.8019886,113.4504972
8,,1000,250
9,0.003434634,291.1518399,72.78795996
10,0.000408423,2448.442716,612.110679
11,0.002035169,491.3597867,122.8399467
12, NAN,3300,825
13,0.003435301,291.095309,72.77382724
