Sequence_ID, K, tau(lag-index), lag-time(ns)
WT,,,44.4417122
2,0.001004618,995.4034772,248.8508693
3,0.002606133,383.7102428,95.9275607
4,,1000,250
5,0.002141454,466.9723405,116.7430851
6,0.000927907,1077.694248,269.4235621
7,0.029659208,33.71634205,8.429085513
8,0.001202285,831.7493575,207.9373394
9,0.001045683,956.3123727,239.0780932
10,,1700,425
11,0.001362579,733.90224,183.47556
12,,450,112.5
13,0.005853807,170.8290037,42.70725092
