Sequence_ID,Structure,Coil,Bend,Turn,3-Helix
WT,11991,48570,10338,11991,9111
2,9355,47788,10063,9355,12804
3,11084,48232,10908,11084,9786
4,14880,48341,12014,14880,4775
5,15469,48505,14326,15469,1710
6,10468,47629,9994,10468,11919
7,15328,48326,14709,15328,1647
8,14585,48106,13524,14585,3795
9,7596,47609,8650,7596,16155
10,10204,49229,8244,10204,12333
11,11016,48818,9811,11016,10365
12,12151,47039,10130,12151,10690
13,15290,49002,13282,15290,2436
