Sequence_ID,Structure,Coil,Bend,Turn,3-Helix
WT,11609,48343,10935,11609,9123
2,11198,47686,8097,11198,13029
3,8297,47662,8427,8297,15624
4,11948,48128,8885,11948,11049
5,12912,49127,8626,12912,9345
6,25314,40708,6499,13501,19302
7,16087,48385,15154,16087,384
8,15606,48360,13830,15606,2214
9,12528,47901,9981,12528,9600
10,7908,47903,10183,7908,14016
11,14307,48308,12313,14307,5082
12,14201,48600,13314,14201,3895
13,8743,47777,9042,8743,14448
