Sequence_ID,Structure,Coil,Bend,Turn,3-Helix
WT,15366,48564,11706,15366,4374
2,14017,48552,12305,14017,5136
3,12996,47980,11472,12988,7570
4,14251,48358,11890,14251,5511
5,17455,48016,8026,17455,6513
6,9631,47889,9539,9631,12951
7,11725,48419,10937,11723,8929
8,10756,47816,10221,10756,11217
9,11596,47773,8314,11596,12327
10,12584,48536,11858,12584,7032
11,7410,47897,8644,7410,16059
12,14265,48528,12711,14265,4506
13,9308,47951,9190,9308,13561
